,DATE,Region,w_PCPI
903,2006-01-01,West,
904,2006-02-01,West,
905,2006-03-01,West,
906,2006-04-01,West,
907,2006-05-01,West,
908,2006-06-01,West,
909,2006-07-01,West,
910,2006-08-01,West,
911,2006-09-01,West,
912,2006-10-01,West,
913,2006-11-01,West,
914,2006-12-01,West,
915,2007-01-01,West,
916,2007-02-01,West,
917,2007-03-01,West,
918,2007-04-01,West,
919,2007-05-01,West,
920,2007-06-01,West,
921,2007-07-01,West,
922,2007-08-01,West,
923,2007-09-01,West,
924,2007-10-01,West,
925,2007-11-01,West,
926,2007-12-01,West,
927,2008-01-01,West,
928,2008-02-01,West,
929,2008-03-01,West,
930,2008-04-01,West,
931,2008-05-01,West,
932,2008-06-01,West,
933,2008-07-01,West,
934,2008-08-01,West,
935,2008-09-01,West,
936,2008-10-01,West,
937,2008-11-01,West,
938,2008-12-01,West,
939,2009-01-01,West,
940,2009-02-01,West,
941,2009-03-01,West,
942,2009-04-01,West,
943,2009-05-01,West,
944,2009-06-01,West,
945,2009-07-01,West,
946,2009-08-01,West,
947,2009-09-01,West,
948,2009-10-01,West,
949,2009-11-01,West,
950,2009-12-01,West,
951,2010-01-01,West,
952,2010-02-01,West,
953,2010-03-01,West,
954,2010-04-01,West,
955,2010-05-01,West,
956,2010-06-01,West,
957,2010-07-01,West,
958,2010-08-01,West,
959,2010-09-01,West,
960,2010-10-01,West,
961,2010-11-01,West,
962,2010-12-01,West,
963,2011-01-01,West,
964,2011-02-01,West,
965,2011-03-01,West,
966,2011-04-01,West,
967,2011-05-01,West,
968,2011-06-01,West,
969,2011-07-01,West,
970,2011-08-01,West,
971,2011-09-01,West,
972,2011-10-01,West,
973,2011-11-01,West,
974,2011-12-01,West,
975,2012-01-01,West,
976,2012-02-01,West,
977,2012-03-01,West,
978,2012-04-01,West,
979,2012-05-01,West,
980,2012-06-01,West,
981,2012-07-01,West,
982,2012-08-01,West,
983,2012-09-01,West,
984,2012-10-01,West,
985,2012-11-01,West,
986,2012-12-01,West,
987,2013-01-01,West,
988,2013-02-01,West,
989,2013-03-01,West,
990,2013-04-01,West,
991,2013-05-01,West,
992,2013-06-01,West,
993,2013-07-01,West,
994,2013-08-01,West,
995,2013-09-01,West,
996,2013-10-01,West,
997,2013-11-01,West,
998,2013-12-01,West,
999,2014-01-01,West,
1000,2014-02-01,West,
1001,2014-03-01,West,
1002,2014-04-01,West,
1003,2014-05-01,West,
1004,2014-06-01,West,
1005,2014-07-01,West,
1006,2014-08-01,West,
1007,2014-09-01,West,
1008,2014-10-01,West,
1009,2014-11-01,West,
1010,2014-12-01,West,
1011,2015-01-01,West,
1012,2015-02-01,West,
1013,2015-03-01,West,
1014,2015-04-01,West,
1015,2015-05-01,West,
1016,2015-06-01,West,
1017,2015-07-01,West,
1018,2015-08-01,West,
1019,2015-09-01,West,
1020,2015-10-01,West,
