Region,DATE,w_PCPI
Northeast,2002-11-01,37429.35418520038
Northeast,2002-12-01,37485.783277756986
Northeast,2003-01-01,37542.21306374429
Northeast,2003-02-01,37690.31785037321
Northeast,2003-03-01,37838.421850299856
Northeast,2003-04-01,37986.52506384652
Northeast,2003-05-01,38134.62749133535
Northeast,2003-06-01,38282.7291330883
Northeast,2003-07-01,38430.82998942716
Northeast,2003-08-01,38578.93006067355
Northeast,2003-09-01,38727.02934714889
Northeast,2003-10-01,38875.12784917443
Northeast,2003-11-01,39023.22556707126
Northeast,2003-12-01,39171.322501160306
Northeast,2004-01-01,39319.41865176228
Northeast,2004-02-01,39444.166905528764
Northeast,2004-03-01,39568.912641492796
Northeast,2004-04-01,39693.655859974664
Northeast,2004-05-01,39818.39656129459
Northeast,2004-06-01,39943.1347457728
Northeast,2004-07-01,40067.8704137294
Northeast,2004-08-01,40192.603565484475
Northeast,2004-09-01,40317.334201358055
Northeast,2004-10-01,40442.06232167011
Northeast,2004-11-01,40566.78792674056
Northeast,2004-12-01,40691.511016889264
Northeast,2005-01-01,40816.23159243602
Northeast,2005-02-01,41044.94717565523
Northeast,2005-03-01,41273.64585953155
Northeast,2005-04-01,41502.32764960528
Northeast,2005-05-01,41730.99255141433
Northeast,2005-06-01,41959.64057049415
Northeast,2005-07-01,42188.27171237782
Northeast,2005-08-01,42416.885982595944
Northeast,2005-09-01,42645.483386676766
Northeast,2005-10-01,42874.063930146076
Northeast,2005-11-01,43102.62761852726
Northeast,2005-12-01,43331.174457341316
Northeast,2006-01-01,43559.70445210678
Northeast,2006-02-01,43788.07894928336
Northeast,2006-03-01,44016.449288896954
Northeast,2006-04-01,44244.81547343773
Northeast,2006-05-01,44473.17750539385
Northeast,2006-06-01,44701.53538725152
Northeast,2006-07-01,44929.88912149491
Northeast,2006-08-01,45158.23871060626
Northeast,2006-09-01,45386.58415706581
Northeast,2006-10-01,45614.92546335181
Northeast,2006-11-01,45843.262631940546
Northeast,2006-12-01,46071.595665306326
Northeast,2007-01-01,46299.92456592149
Northeast,2007-02-01,46419.71056498175
Northeast,2007-03-01,46539.499919445116
Northeast,2007-04-01,46659.29262589902
Northeast,2007-05-01,46779.088680935536
Northeast,2007-06-01,46898.88808115132
Northeast,2007-07-01,47018.69082314768
Northeast,2007-08-01,47138.49690353052
Northeast,2007-09-01,47258.30631891029
Northeast,2007-10-01,47378.11906590211
Northeast,2007-11-01,47497.93514112561
Northeast,2007-12-01,47617.754541205
Northeast,2008-01-01,47737.57726276911
Northeast,2008-02-01,47650.80926397633
Northeast,2008-03-01,47564.03805993715
Northeast,2008-04-01,47477.26365440252
Northeast,2008-05-01,47390.486051117514
Northeast,2008-06-01,47303.705253821376
Northeast,2008-07-01,47216.92126624754
Northeast,2008-08-01,47130.1340921236
Northeast,2008-09-01,47043.34373517136
Northeast,2008-10-01,46956.55019910682
Northeast,2008-11-01,46869.7534876402
Northeast,2008-12-01,46782.95360447596
Northeast,2009-01-01,46696.150553312786
Northeast,2009-02-01,46830.07090313472
Northeast,2009-03-01,46963.99284369119
Northeast,2009-04-01,47097.91637319776
Northeast,2009-05-01,47231.841489872706
Northeast,2009-06-01,47365.768191936906
Northeast,2009-07-01,47499.696477613914
Northeast,2009-08-01,47633.62634512996
Northeast,2009-09-01,47767.55779271391
Northeast,2009-10-01,47901.49081859725
Northeast,2009-11-01,48035.42542101415
Northeast,2009-12-01,48169.361598201365
Northeast,2010-01-01,48303.2993483983
Northeast,2010-02-01,48471.91409944745
Northeast,2010-03-01,48640.53164921005
Northeast,2010-04-01,48809.15199481413
Northeast,2010-05-01,48977.77513339167
Northeast,2010-06-01,49146.401062078534
Northeast,2010-07-01,49315.02977801457
